BOND TYPE                ATOMS                    R                        TS                       P                        TS-R                     % CHANGE                 P-TS                     % CHANGE                 
RY*                      C[5]                     1.29695                  -0.64742                 1.69552                  -0.08403                 -6.47904699487           0.4826                   39.7882795238            
RY*                      C[5]                     1.28872                  -0.64742                 1.94169                  -0.0758                  -5.88180520206           0.72877                  60.0839296903            
RY*                      C[5]                     1.46775                  -0.64742                 1.38005                  -0.25483                 -17.3619485607           0.16713                  13.7791445437            
RY*                      C[5]                     1.70065                  -0.64742                 2.3726                   -0.48773                 -28.6790344868           1.15968                  95.6105926195            
RY*                      C[5]                     1.99666                  -0.64742                 1.75671                  -0.78374                 -39.2525517614           0.54379                  44.8331299674            
RY*                      C[5]                     1.6294                   -0.64742                 2.09759                  -0.41648                 -25.5603289554           0.88467                  72.937209379             
RY*                      O[1]                     1.90404                  -0.64742                 1.81131                  -0.69112                 -36.297556774            0.59839                  49.3346634568            
RY*                      O[1]                     2.17923                  -0.64742                 2.50869                  -0.96631                 -44.341808804            1.29577                  106.830623619            
RY*                      O[1]                     2.42003                  -0.64742                 1.48445                  -1.20711                 -49.8799601658           0.27153                  22.3864723147            
RY*                      O[1]                     2.15991                  -0.64742                 0.82187                  -0.94699                 -43.8439564611           -0.39105                 -32.2403785905           
RY*                      O[1]                     1.17112                  -0.64742                 1.39981                  0.0418                   3.5692328711             0.18689                  15.4082709494            
RY*                      O[1]                     1.38597                  -0.64742                 1.89263                  -0.17305                 -12.4858402419           0.67971                  56.0391452033            
RY*                      O[1]                     1.55185                  -0.64742                 1.0933                   -0.33893                 -21.8403840577           -0.3448                  -23.9760795494           
RY*                      O[1]                     4.43203                  -0.64742                 1.25949                  -3.21911                 -72.6328567271           -0.17861                 -12.4198595369           
RY*                      O[1]                     1.29695                  -0.64742                 1.69552                  0.14115                  10.8832260303            0.25742                  17.9000069536            
RY*                      O[1]                     1.28872                  -0.64742                 1.94169                  0.14938                  11.5913464523            0.50359                  35.0177317294            
RY*                      O[1]                     1.46775                  -0.64742                 1.38005                  -0.02965                 -2.02009879067           -0.05805                 -4.03657603783           
RY*                      O[1]                     1.70065                  -0.64742                 2.3726                   -0.26255                 -15.4382148002           0.9345                   64.9815729087            
RY*                      O[1]                     1.99666                  -0.64742                 1.75671                  -0.55856                 -27.9747177787           0.31861                  22.1549266393            
RY*                      O[1]                     1.6294                   -0.64742                 2.09759                  -0.1913                  -11.7405179821           0.65949                  45.8584243099            
RY*                      C[6]                     1.90404                  -0.64742                 1.81131                  -0.46594                 -24.4711245562           0.37321                  25.9516028093            
RY*                      C[6]                     2.17923                  -0.64742                 2.50869                  -0.74113                 -34.0088012738           1.07059                  74.4447534942            
RY*                      C[6]                     2.42003                  -0.64742                 1.48445                  -0.98193                 -40.5751168374           0.04635                  3.22300257284            
RY*                      C[6]                     2.15991                  -0.64742                 0.82187                  -0.72181                 -33.418522068            -0.61623                 -42.8502885752           
RY*                      C[6]                     1.17112                  -0.64742                 1.39981                  0.26698                  22.7969806681            -0.03829                 -2.66254085251           
RY*                      C[6]                     1.38597                  -0.64742                 1.89263                  0.05213                  3.76126467384            0.45453                  31.6062860719            
RY*                      C[6]                     1.55185                  -0.64742                 1.0933                   -0.11375                 -7.32996101427           -0.80624                 -42.4439601167           
RY*                      C[6]                     4.43203                  -0.64742                 1.25949                  -2.99393                 -67.5521149451           -0.64005                 -33.6949998421           
RY*                      C[6]                     1.29695                  -0.64742                 1.69552                  0.60259                  46.4620841204            -0.20402                 -10.7404950672           
RY*                      C[6]                     1.28872                  -0.64742                 1.94169                  0.61082                  47.3974175927            0.04215                  2.21895827411            
RY*                      C[6]                     1.46775                  -0.64742                 1.38005                  0.43179                  29.4184977006            -0.51949                 -27.3482000905           
RY*                      C[6]                     1.70065                  -0.64742                 2.3726                   0.19889                  11.6949401699            0.47306                  24.9039241079            
RY*                      C[6]                     1.99666                  -0.64742                 1.75671                  -0.09712                 -4.86412308555           -0.14283                 -7.51918885625           
RY*                      C[6]                     1.6294                   -0.64742                 2.09759                  0.27014                  16.5791088744            0.19805                  10.4262084505            
RY*                      H[10]                    1.90404                  -0.64742                 1.81131                  -0.0045                  -0.236339572698          -0.08823                 -4.64480874317           
RY*                      H[11]                    2.17923                  -0.64742                 2.50869                  -0.27969                 -12.8343497474           0.60915                  32.0682902176            
RY*                      H[12]                    2.42003                  -0.64742                 1.48445                  -0.52049                 -21.5075846167           -0.41509                 -21.8521326216           
RY*                      C[9]                     2.15991                  -0.64742                 0.82187                  -0.26037                 -12.0546689445           -1.07767                 -56.7332090927           
RY*                      C[9]                     1.17112                  -0.64742                 1.39981                  0.72842                  62.1985791379            -0.49973                 -26.3079482401           
RY*                      C[9]                     1.38597                  -0.64742                 1.89263                  0.51357                  37.0549146085            -0.00691                 -0.36377228171           
RY*                      C[9]                     1.55185                  -0.64742                 1.0933                   0.34769                  22.4048716049            -0.27718                 -20.2250306462           
RY*                      C[9]                     4.43203                  -0.64742                 1.25949                  -2.53249                 -57.1406330733           -0.11099                 -8.09862238048           
RY*                      C[9]                     1.29695                  -0.64742                 1.69552                  0.07353                  5.66945526042            0.32504                  23.7172377561            
RY*                      C[9]                     1.28872                  -0.64742                 1.94169                  0.08176                  6.34427959526            0.57121                  41.6795575273            
RY*                      C[9]                     1.46775                  -0.64742                 1.38005                  -0.09727                 -6.62715040027           0.00957                  0.698295487712           
RY*                      C[9]                     1.70065                  -0.64742                 2.3726                   -0.33017                 -19.4143415753           1.00212                  73.1218259296            
RY*                      C[9]                     1.99666                  -0.64742                 1.75671                  -0.62618                 -31.3613734937           0.38623                  28.1820967836            
RY*                      C[9]                     1.6294                   -0.64742                 2.09759                  -0.25892                 -15.8905118449           0.72711                  53.0551339677            
